RandomScore,PlanScore,MCScore,,,r,p,m
2.039473684,3.047619048,2.791666667,,,,,
2.064935065,3.0625,2.84,,,,,
2.08974359,3.076923077,2.884615385,,,,,
2.113924051,3.090909091,2.925925926,,,,,
2.1375,3.104477612,2.964285714,,,,,
2.160493827,3.117647059,3,,,,,
2.182926829,3.130434783,3.033333333,,,,,
2.204819277,3.142857143,3.064516129,,,,,
2.226190476,3.154929577,3.09375,,,,,
2.247058824,3.166666667,3.121212121,,,,,
2.26744186,3.178082192,3.147058824,,,,,
2.287356322,3.189189189,3.171428571,,,,,
2.306818182,3.2,3.194444444,,,,,
2.325842697,3.210526316,3.216216216,,,,,
2.344444444,3.220779221,3.236842105,,,,,
2.362637363,3.230769231,3.256410256,,,,,
2.380434783,3.240506329,3.275,,,,,
2.397849462,3.25,3.292682927,,,,,
2.414893617,3.259259259,3.30952381,,,,,
2.431578947,3.268292683,3.325581395,,,,,
2.447916667,3.277108434,3.340909091,,,,,
2.463917526,3.285714286,3.355555556,,,,,
2.479591837,3.294117647,3.369565217,,,,,
2.494949495,3.302325581,3.382978723,,,,,
2.51,3.310344828,3.395833333,,,,,
0,3.318181818,3.408163265,,,,,
0,3.325842697,3.42,,,,,
0,3.333333333,3.431372549,,,,,
0,3.340659341,3.442307692,,,,,
0.02,3.347826087,3.452830189,,,,,
0.01,3.35483871,3.462962963,,,,,
0.5,3.361702128,3.472727273,,,,,
0.565789474,3.368421053,3.482142857,,,,,
0.61038961,3.375,3.49122807,,,,,
0.653846154,3.381443299,3.5,,,,,
0.696202532,3.387755102,3.508474576,,,,,
0.7375,3.393939394,3.516666667,,,,,
0.777777778,3.4,3.524590164,,,,,
0.817073171,0,3.532258065,,,,,
0.855421687,1.63,3.53968254,,,,,
0.892857143,0,3.546875,,,,,
0.929411765,0,3.553846154,,,,,
0.965116279,0,3.560606061,,,,,
1,0,3.567164179,,,,,
1.034090909,0.02,3.573529412,,,,,
1.06741573,0.15,3.579710145,,,,,
1.1,2.605263158,3.585714286,,,,,
1.131868132,2.641025641,3.591549296,,,,,
1.163043478,2.675,3.597222222,,,,,
1.193548387,2.707317073,3.602739726,,,,,
1.223404255,2.738095238,3.608108108,,,,,
1.252631579,2.76744186,3.613333333,,,,,
1.28125,2.795454545,3.618421053,,,,,
1.309278351,2.822222222,3.623376623,,,,,
1.336734694,2.847826087,3.628205128,,,,,
1.363636364,2.872340426,3.632911392,,,,,
1.39,2.895833333,3.6375,,,,,
0.05,2.918367347,3.641975309,,,,,
0,2.94,3.646341463,,,,,
